ward_id,cluster_id,cluster_label,year
3,3,Developing,2021
17,0,Urban Core,2021
15,3,Developing,2021
16,2,Distressed,2021
18,1,Green Suburbs,2021
19,1,Green Suburbs,2021
37,1,Green Suburbs,2021
20,0,Urban Core,2021
21,2,Distressed,2021
67,4,Commercial Hub,2021
22,1,Green Suburbs,2021
23,2,Distressed,2021
63,3,Developing,2021
24,0,Urban Core,2021
25,2,Distressed,2021
26,2,Distressed,2021
30,4,Commercial Hub,2021
27,2,Distressed,2021
28,4,Commercial Hub,2021
29,0,Urban Core,2021
35,0,Urban Core,2021
31,3,Developing,2021
36,4,Commercial Hub,2021
52,4,Commercial Hub,2021
32,1,Green Suburbs,2021
33,1,Green Suburbs,2021
34,3,Developing,2021
41,0,Urban Core,2021
53,1,Green Suburbs,2021
70,2,Distressed,2021
42,0,Urban Core,2021
54,2,Distressed,2021
55,4,Commercial Hub,2021
43,0,Urban Core,2021
44,3,Developing,2021
45,4,Commercial Hub,2021
51,4,Commercial Hub,2021
71,2,Distressed,2021
56,4,Commercial Hub,2021
57,1,Green Suburbs,2021
60,0,Urban Core,2021
61,1,Green Suburbs,2021
66,2,Distressed,2021
68,2,Distressed,2021
69,0,Urban Core,2021
74,4,Commercial Hub,2021
75,3,Developing,2021
86,2,Distressed,2021
89,0,Urban Core,2021
80,3,Developing,2021
93,4,Commercial Hub,2021
87,2,Distressed,2021
81,0,Urban Core,2021
94,0,Urban Core,2021
82,0,Urban Core,2021
76,2,Distressed,2021
96,3,Developing,2021
78,0,Urban Core,2021
77,4,Commercial Hub,2021
79,0,Urban Core,2021
83,3,Developing,2021
84,2,Distressed,2021
85,0,Urban Core,2021
125,0,Urban Core,2021
101,4,Commercial Hub,2021
128,4,Commercial Hub,2021
108,0,Urban Core,2021
113,0,Urban Core,2021
114,4,Commercial Hub,2021
139,3,Developing,2021
115,1,Green Suburbs,2021
116,1,Green Suburbs,2021
117,0,Urban Core,2021
120,4,Commercial Hub,2021
121,2,Distressed,2021
122,2,Distressed,2021
123,1,Green Suburbs,2021
124,3,Developing,2021
126,1,Green Suburbs,2021
127,0,Urban Core,2021
141,3,Developing,2021
144,2,Distressed,2021
154,4,Commercial Hub,2021
148,4,Commercial Hub,2021
149,0,Urban Core,2021
155,1,Green Suburbs,2021
150,0,Urban Core,2021
151,4,Commercial Hub,2021
152,2,Distressed,2021
156,4,Commercial Hub,2021
157,3,Developing,2021
158,4,Commercial Hub,2021
159,4,Commercial Hub,2021
225,3,Developing,2021
160,1,Green Suburbs,2021
161,4,Commercial Hub,2021
162,0,Urban Core,2021
177,4,Commercial Hub,2021
163,0,Urban Core,2021
167,3,Developing,2021
164,4,Commercial Hub,2021
165,3,Developing,2021
166,3,Developing,2021
168,1,Green Suburbs,2021
169,4,Commercial Hub,2021
170,0,Urban Core,2021
171,0,Urban Core,2021
175,4,Commercial Hub,2021
195,1,Green Suburbs,2021
203,1,Green Suburbs,2021
204,1,Green Suburbs,2021
206,0,Urban Core,2021
207,3,Developing,2021
224,1,Green Suburbs,2021
208,0,Urban Core,2021
209,0,Urban Core,2021
212,3,Developing,2021
220,4,Commercial Hub,2021
222,4,Commercial Hub,2021
7,1,Green Suburbs,2021
62,1,Green Suburbs,2021
11,3,Developing,2021
9,1,Green Suburbs,2021
100,3,Developing,2021
90,0,Urban Core,2021
136,1,Green Suburbs,2021
88,0,Urban Core,2021
145,2,Distressed,2021
118,3,Developing,2021
119,2,Distressed,2021
59,1,Green Suburbs,2021
58,0,Urban Core,2021
172,1,Green Suburbs,2021
129,2,Distressed,2021
5,1,Green Suburbs,2021
202,4,Commercial Hub,2021
147,2,Distressed,2021
153,1,Green Suburbs,2021
146,0,Urban Core,2021
187,1,Green Suburbs,2021
184,0,Urban Core,2021
176,4,Commercial Hub,2021
174,1,Green Suburbs,2021
173,4,Commercial Hub,2021
213,2,Distressed,2021
214,0,Urban Core,2021
215,2,Distressed,2021
216,0,Urban Core,2021
217,4,Commercial Hub,2021
219,3,Developing,2021
218,1,Green Suburbs,2021
2,4,Commercial Hub,2021
