ward_id,year,driver_1_feature,driver_2_feature
3,2021,Transit Access,Crime Rate
17,2021,Price Surge,Pending Complaints
15,2021,Price Surge,Transit Access
16,2021,Green Cover Loss,Air Quality
18,2021,Price Surge,Pending Complaints
19,2021,Air Quality,Price Surge
37,2021,Price Surge,Green Cover Loss
20,2021,Price Surge,Air Quality
21,2021,Green Cover Loss,Price Surge
67,2021,Price Surge,Green Cover Loss
22,2021,Crime Rate,Price Surge
23,2021,Green Cover Loss,Transit Access
63,2021,Air Quality,Green Cover Loss
24,2021,Green Cover Loss,Transit Access
25,2021,Air Quality,Price Surge
26,2021,Pending Complaints,Air Quality
30,2021,Green Cover Loss,Pending Complaints
27,2021,Price Surge,Green Cover Loss
28,2021,Pending Complaints,Green Cover Loss
29,2021,Price Surge,Transit Access
35,2021,Transit Access,Air Quality
31,2021,Green Cover Loss,Air Quality
36,2021,Price Surge,Air Quality
52,2021,Price Surge,Pending Complaints
32,2021,Air Quality,Price Surge
33,2021,Crime Rate,Pending Complaints
34,2021,Pending Complaints,Green Cover Loss
41,2021,Air Quality,Crime Rate
53,2021,Crime Rate,Green Cover Loss
70,2021,Green Cover Loss,Price Surge
42,2021,Pending Complaints,Transit Access
54,2021,Air Quality,Transit Access
55,2021,Price Surge,Pending Complaints
43,2021,Price Surge,Air Quality
44,2021,Crime Rate,Air Quality
45,2021,Transit Access,Price Surge
51,2021,Crime Rate,Transit Access
71,2021,Crime Rate,Transit Access
56,2021,Pending Complaints,Air Quality
57,2021,Air Quality,Price Surge
60,2021,Crime Rate,Green Cover Loss
61,2021,Green Cover Loss,Transit Access
66,2021,Price Surge,Crime Rate
68,2021,Pending Complaints,Crime Rate
69,2021,Crime Rate,Air Quality
74,2021,Pending Complaints,Price Surge
75,2021,Air Quality,Crime Rate
86,2021,Air Quality,Green Cover Loss
89,2021,Green Cover Loss,Pending Complaints
80,2021,Green Cover Loss,Air Quality
93,2021,Crime Rate,Transit Access
87,2021,Green Cover Loss,Crime Rate
81,2021,Pending Complaints,Green Cover Loss
94,2021,Crime Rate,Pending Complaints
82,2021,Transit Access,Green Cover Loss
76,2021,Price Surge,Pending Complaints
96,2021,Crime Rate,Pending Complaints
78,2021,Crime Rate,Pending Complaints
77,2021,Price Surge,Pending Complaints
79,2021,Crime Rate,Green Cover Loss
83,2021,Air Quality,Pending Complaints
