ward_name,umap_x,umap_y,cluster_label
Atturu,2.2415878121507853,8.232472395194204,Green Suburbs
Chikkasandra,-0.8080713035408047,1.7697539718849096,Distressed
Kammagondanahalli,-6.5660111452323475,-4.1657076166448315,Distressed
Mallasandra,5.32981859865913,-4.852082897812639,Green Suburbs
Bagalakunte,6.002452283868656,-4.1254864997276215,Commercial Hub
T Dasarahalli,0.23230636577094788,2.6083732458587328,Urban Core
Peenya,-3.0775792499681724,-4.437328659901062,Developing
Nalagadarenahalli,-3.4127055334381633,3.8201476640011918,Commercial Hub
Chokkasandra,4.6947545560041055,-4.829854623057682,Distressed
Ganga Nagar,-4.06084735863165,1.4437982677603436,Commercial Hub
Peenya Industrial Area,1.05078523529977,1.0174100172614382,Commercial Hub
Rajagopal Nagar,-7.054011425454796,-0.24362151636125517,Developing
Hebbala,-1.272443729666088,-12.61728681256235,Commercial Hub
Hegganahalli,-1.5046764648506659,-5.122630717876543,Urban Core
Sunkadakatte,0.6253405713024276,5.714151697781173,Distressed
Dodda Bidarakallu,0.5670759909907905,4.373233397945754,Commercial Hub
Nagadevanahalli,-3.0996558501757625,-1.1272156370850008,Green Suburbs
Lingadheeranahalli,-1.7475343847938518,2.173735945473273,Green Suburbs
Herohalli,5.235536598424407,-2.030757082869018,Urban Core
Ullalu,-4.734913828086741,-11.310401484389377,Commercial Hub
Yeshwanthpura,6.659042897706195,3.6115274189136986,Distressed
Bande Mutt,1.035480901711811,-0.9826356702735193,Distressed
Jalahalli,4.586169225988411,1.2591150733101752,Distressed
Shakthi Ganapathi Nagar,2.4403857625994814,-3.0575790101917732,Commercial Hub
Kengeri,3.9377166216343262,-5.004965427212711,Urban Core
Hemmigepura,-1.9775311506460511,-7.047744402038041,Distressed
JP Park,0.3953513410441403,1.9770878771712097,Urban Core
Kottegepalya,0.46846289972259114,-2.9816234454596033,Green Suburbs
Vrisabhavathi Nagar,2.643174076672796,-5.223472405472943,Urban Core
Kushal Nagar,0.9225472315093133,1.3450876388577049,Commercial Hub
Srigandhadakaval,6.053888734117473,-0.9070498696177642,Green Suburbs
Mattikere,2.168352661890593,2.1564190844314925,Urban Core
Malleswaram,-5.870711862405573,-2.037907137985147,Developing
Malathalli,6.637160586653303,-8.049516006718436,Developing
Jnana Bharathi ward,6.325071170358488,-1.3097250321217695,Green Suburbs
Rajarajeshwari Nagar,-11.680348025106316,-2.0595614351713736,Developing
Shankar Matt,-4.972105829041201,8.39512399251914,Urban Core
Muneshwara Nagar,-11.720394486746883,-3.093939656274532,Commercial Hub
Aramane Nagara,7.516745321628802,2.5802750738778224,Urban Core
Rajamahal Guttahalli,4.347542410000598,-2.2766132198367366,Distressed
Gayithri Nagar,3.055356270834168,-0.8416881711859543,Developing
Radhakrishna Temple Ward,1.1973349439021748,5.115251867350715,Commercial Hub
Chamundi Nagara,-2.327769943435162,-2.8850221986360145,Developing
Jayachamarajendra  Nagar,-6.634387796835114,0.8503086125290916,Urban Core
Kaval Bairasandra,-6.081350189157675,-9.456198712383607,Green Suburbs
Sagayarapuram,-3.7672409599452124,-6.826753657801566,Commercial Hub
Pulikeshinagar,0.9430732810681385,-4.845349238514539,Distressed
Challakere,-5.075369115039993,2.4812428312271404,Developing
Vijinapura,7.414164331929535,-1.2083898225663534,Urban Core
Kacharkanahalli,1.7375901795263435,-5.223332653156216,Developing
Devasandra,2.2743790033192166,-4.558265686553375,Urban Core
Horamavu,-6.187342110498215,0.6563443558575284,Urban Core
Kammanahalli,3.326783938224771,-9.984854427853167,Urban Core
A. Narayanapura,-1.9397740667536807,-4.036078387422199,Urban Core
Banasavadi,-0.2893307960717051,-7.520154950744224,Green Suburbs
Hennur,-3.5176199083355684,0.347648921859009,Distressed
HAL Airport,1.2852848482193426,1.159016525596108,Urban Core
HBR Layout,-2.877635842682663,-1.021202448325859,Green Suburbs
Nagavara,3.598882597388493,2.754683248993668,Urban Core
Kadugondanahalli,-6.2865791241249855,3.590503944370103,Urban Core
Subbayyanapalya,-1.6777794657565137,-0.7493901676108415,Developing
Lingarajapura,5.561462249458638,-6.188499073202079,Distressed
Maruthi Seva Nagar,-1.9433919672681994,-3.3934883056881353,Green Suburbs
Okalipuram,4.484882691528008,0.5561166742042901,Commercial Hub
Dodda Nekkundi,-1.6366278753619787,3.738545755235397,Green Suburbs
Chickpete,-0.6721028789244937,1.0770570136506183,Developing
Cox Town,-0.8294634142319174,1.057687226458557,Developing
Hoysala Nagar,2.096128243755121,0.8484657898564186,Urban Core
Jeevanbhima Nagar,2.409839135264461,7.241230076849551,Distressed
Mudalapalya,-6.944196131927075,-2.728294966057161,Urban Core
Konena Agrahara,4.261448447264061,-8.782053531922768,Green Suburbs
Ramaswamypalya,2.1740169846149056,5.8648384958213295,Distressed
Vasanthnagar,-2.618796455133417,-7.519399536776572,Commercial Hub
Bharathi Nagar,-0.3221582336092438,1.038909243631085,Distressed
Ulsoor,-1.045902172335167,-6.038201517023715,Green Suburbs
Dattatreya Temple,3.4449959468128535,-4.55796688293073,Green Suburbs
Gandhinagar,4.9503061535818,-4.352936634184587,Distressed
Subhash Nagar,-1.6651980312356374,-1.7629654853220362,Green Suburbs
Binnipete,3.5048616135198287,-1.8538963235421009,Distressed
Cottonpete,-0.6190854659170261,-1.7879048747409714,Urban Core
Nagarabhavi,-4.4020900598769295,-4.5046547242468415,Distressed
Kempapura Agrahara,10.425622306385161,-5.475969660418193,Developing
Rayapuram,1.940168441718957,4.009096451005261,Developing
New Guddadahalli,-7.476330300007124,-1.45719670473521,Distressed
